periods	long	12
pizzas	different	25
pizzas	red	22
pizzas	margherita	23
pizzas	best	29
bacon	tartine	239
bacon	red	12
bacon	bread	62
bacon	late	28
bacon	bits	70
bacon	brioche	87
bacon	best	16
bacon	smoked	95
bacon	crispy	25
parts	different	12
parts	best	30
parts	favorite	11
parts	animal	38
ambiance	cool	23
ambiance	great	311
ambiance	ice	40
ambiance	nice	221
ambiance	eat	57
ambiance	good	37
ambiance	overall	12
chance	second	71
chance	better	13
chance	good	22
smoked	sweet	20
smoked	applewood	36
smoked	meat	113
smoked	good	14
smoked	tea	26
party	huge	20
party	dinner	30
party	birthday	153
party	entire	87
party	ordered	77
party	larger	47
party	big	149
party	small	101
party	large	343
party	size	44
attraction	main	49
ingredients	different	18
ingredients	organic	43
ingredients	great	24
ingredients	fresh	380
ingredients	quality	312
ingredients	best	20
ingredients	good	29
ingredients	local	24
tortilla	chip	39
tortilla	chips	215
gripe	biggest	16
roll	cinnamon	29
roll	california	109
roll	avocado	25
roll	mon	94
roll	french	179
roll	spring	64
compared	good	23
compared	small	12
beans	ring	119
beans	soy	12
beans	green	1086
beans	refried	66
beans	fava	27
beans	white	30
beans	good	24
beans	fried	77
beans	smoked	14
beans	long	11
beans	baked	2044
beans	red	185
beans	sweet	31
beans	string	506
beans	bbq	293
beans	black	37
beans	giant	18
event	special	19
event	main	42
ribbon	blue	23
pairing	great	12
pairing	perfect	18
hungry	super	79
hungry	getting	44
hungry	extremely	32
hungry	leave	41
hungry	extra	18
hungry	come	237
hungry	left	34
hungry	pretty	26
right	feel	69
right	parking	78
right	fell	49
right	walked	66
right	consistency	33
right	come	34
right	back	57
right	good	33
right	table	191
right	came	64
right	cooked	28
right	taste	27
right	went	27
right	size	33
right	sit	31
right	balance	42
right	sitting	41
right	order	65
right	sat	50
right	seat	22
right	located	52
right	fall	23
right	lot	67
right	things	35
right	iced	12
right	bar	23
right	standing	29
right	walk	54
right	live	26
host	friendly	12
noodles	peanut	40
noodles	old	36
noodles	garlic	327
noodles	good	55
noodles	fried	113
noodles	somen	14
noodles	egg	63
noodles	cooked	129
noodles	homemade	73
noodles	thicker	31
noodles	love	17
noodles	springy	16
noodles	dried	14
noodles	cold	208
noodles	instant	35
noodles	extra	288
noodles	soba	71
noodles	thinner	15
noodles	crispy	13
noodles	tasty	15
noodles	thick	26
noodles	better	32
noodles	seafood	27
noodles	dan	15
noodles	hot	13
noodles	thin	106
noodles	straight	23
noodles	tan	11
noodles	chewy	107
noodles	made	115
noodles	wavy	22
noodles	style	14
noodles	fresh	145
noodles	udon	46
noodles	glass	13
noodles	best	32
noodles	perfect	39
noodles	pulled	31
noodles	dente	26
noodles	rice	39
noodles	dry	47
noodles	firm	17
noodles	spicy	14
noodles	handmade	24
noodles	delicious	26
noodles	soft	16
noodles	red	12
noodles	great	32
noodles	wasabi	815
crowds	huge	12
crowds	big	12
crowds	large	17
textures	different	23
texture	different	26
texture	chewy	93
texture	smooth	22
texture	great	307
texture	better	14
texture	nice	149
texture	eat	67
texture	good	171
texture	creamy	107
texture	perfect	278
texture	right	80
texture	soft	29
texture	crispy	38
told	hostess	35
told	waiter	60
told	end	45
told	waitress	79
told	friend	224
patio	outdoor	36
patio	back	14
noodle	soups	52
noodle	shop	71
noodle	rice	27
noodle	spicy	28
noodle	tendon	27
noodle	good	16
noodle	fried	20
noodle	japanese	19
noodle	soup	1297
noodle	chinese	13
noodle	chicken	100
noodle	udon	24
noodle	best	25
noodle	momofuku	49
noodle	bar	136
deserves	definitely	48
deserves	place	145
newport	tan	67
fois	gras	111
tail	yellow	248
tail	low	33
fee	small	12
smokey	great	12
smokey	nice	16
bit	tiny	168
bit	salty	268
bit	oily	41
bit	chewy	91
bit	overpriced	72
bit	expensive	223
bit	tad	125
bit	difficult	50
bit	disappointing	58
bit	cramped	54
bit	noisy	50
bit	longer	45
bit	slow	62
bit	crowded	119
bit	soggy	87
bit	pricey	836
bit	dry	506
bit	pricy	42
bit	steep	51
bit	overcooked	37
bit	spicy	175
bit	wee	33
bit	heavy	104
bit	disappointed	295
bit	greasy	48
bit	loud	76
bit	sweet	70
bit	better	211
bit	skeptical	45
bit	overwhelming	43
bit	tough	49
bit	annoying	34
bit	high	161
bit	bland	177
bit	weird	71
bit	overrated	117
pocket	hot	18
touch	great	24
touch	ice	187
touch	nice	760
touch	perfect	19
touch	right	24
bite	single	63
bite	second	37
bite	quick	227
bite	nice	22
bite	good	22
bite	eat	32
bite	big	12
bite	perfect	34
bite	size	98
stadium	dodger	25
guacamole	fresh	16
opening	soft	11
quality	ramen	35
quality	highest	55
quality	higher	35
quality	poor	27
quality	good	559
quality	excellent	42
quality	amazing	27
quality	great	204
quality	sushi	168
quality	better	152
quality	meat	381
quality	best	95
quality	eat	79
quality	high	875
quality	low	38
quality	overall	24
quality	meats	69
quality	top	131
cafe	griddle	570
sick	got	47
lines	huge	102
lines	ridiculous	27
lines	two	22
lines	avoid	39
lines	massive	11
lines	hate	24
lines	clean	32
lines	crazy	27
lines	ass	15
lines	long	2216
lines	multiple	22
lines	move	45
lines	shorter	22
big	fat	50
big	nice	97
big	appetite	99
big	table	115
big	tables	34
big	disappointment	35
big	two	33
big	deal	354
big	hit	42
big	parties	36
big	eat	150
big	eater	147
big	part	72
big	group	502
big	big	13
big	crowd	77
big	portion	200
towels	paper	124
towels	hot	12
foie	gras	1713
foie	red	44
foie	oyster	109
foie	best	13
foie	seared	44
foie	smoked	24
unique	definitely	29
truck	chairman	66
made	definitely	145
made	home	356
made	broth	23
made	barely	32
made	finally	236
made	house	293
made	actually	42
made	ready	23
made	sauce	109
made	cream	26
made	hand	70
made	freshly	169
made	order	22
made	better	65
made	reservation	94
made	service	25
made	totally	21
made	match	30
made	place	43
made	sure	453
napoletana	pizza	122
zucchini	cakes	304
zucchini	fried	21
zucchini	crispy	31
times	different	67
times	ten	82
times	million	49
times	five	66
times	peak	197
times	dozen	71
times	numerous	107
times	busy	33
times	good	181
times	wait	425
times	thousand	28
times	countless	29
times	red	21
times	better	69
times	couple	156
times	four	56
times	multiple	148
side	bright	29
side	street	86
side	higher	13
side	nice	18
side	watery	12
side	good	127
side	long	26
side	bakery	18
side	rare	14
side	awesome	16
side	dark	14
side	three	15
side	slow	12
side	positive	10
side	bbq	47
side	right	105
side	plus	166
side	pricy	15
side	extra	180
side	sweeter	33
side	table	96
side	heavy	34
side	favorite	53
side	tangy	13
side	huge	17
side	loud	11
side	tasty	24
side	sweet	201
side	saltier	17
side	better	19
side	thin	14
side	orders	130
side	bar	18
side	savory	18
side	vegetable	16
side	small	506
side	large	221
side	west	85
side	tiny	15
side	different	36
side	salty	245
side	oily	17
side	opposite	18
side	expensive	191
side	cheese	62
side	excellent	16
side	north	25
side	lighter	16
side	smaller	49
side	order	307
side	sunny	28
side	best	101
side	pricier	42
side	mushy	11
side	left	30
side	four	17
side	east	89
side	veggie	13
